['Fi', 'R', 'U', 'Ui', 'Fi', 'Li', 'F', 'Bi', 'Ui', 'Ui', 'R', 'Li', 'Ri', 'D', 'R', 'L', 'Bi', 'Fi', 'D', 'R', 'Fi', 'R', 'L', 'U', 'R', 'U', 'Li', 'U', 'Ri', 'F']
['L', 'Ri', 'R', 'B', 'F', 'R', 'R', 'Bi', 'Bi', 'D', 'Ui', 'F', 'Li', 'Bi', 'Bi', 'Li', 'U', 'Ui', 'U', 'Ri', 'U', 'L', 'Di', 'Bi', 'Bi', 'Di', 'D', 'Fi', 'L', 'D']
['Fi', 'Ri', 'F', 'R', 'D', 'F', 'Li', 'Fi', 'Fi', 'Li', 'B', 'F', 'B', 'Ri', 'U', 'Bi', 'B', 'B', 'L', 'Ri', 'Ui', 'Fi', 'D', 'Li', 'Bi', 'B', 'L', 'L', 'Fi', 'D']
['D', 'R', 'L', 'Ri', 'D', 'Di', 'Li', 'B', 'R', 'Di', 'Di', 'Li', 'F', 'R', 'D', 'D', 'R', 'L', 'Fi', 'Fi', 'Ui', 'R', 'Bi', 'U', 'Li', 'Li', 'Bi', 'F', 'Li', 'F']
['Ri', 'Di', 'Li', 'U', 'Di', 'Ui', 'U', 'F', 'R', 'D', 'Ri', 'Fi', 'U', 'D', 'B', 'Li', 'R', 'R', 'R', 'Li', 'L', 'F', 'L', 'Ri', 'Li', 'R', 'Ui', 'Fi', 'Fi', 'Li']
['L', 'Ui', 'Fi', 'B', 'Fi', 'L', 'U', 'Ri', 'Ui', 'B', 'F', 'Li', 'Ui', 'Li', 'F', 'Fi', 'R', 'U', 'Ri', 'F', 'R', 'B', 'R', 'Fi', 'Bi', 'L', 'Di', 'Ri', 'Di', 'D']
['Di', 'Ri', 'Ri', 'Bi', 'Fi', 'B', 'Ui', 'Ri', 'Ui', 'Ri', 'L', 'Ui', 'U', 'Ri', 'Fi', 'Fi', 'Li', 'Li', 'R', 'Li', 'R', 'B', 'U', 'D', 'L', 'R', 'R', 'Li', 'F', 'F']
['Ri', 'L', 'Li', 'U', 'Bi', 'Di', 'F', 'F', 'B', 'B', 'Bi', 'B', 'B', 'L', 'B', 'L', 'F', 'Ri', 'Fi', 'Ui', 'Di', 'Fi', 'F', 'L', 'B', 'Di', 'Ri', 'B', 'U', 'Li']
['Fi', 'Fi', 'Di', 'Di', 'Ri', 'R', 'L', 'D', 'D', 'F', 'Li', 'Bi', 'R', 'F', 'Ui', 'B', 'Ri', 'U', 'Li', 'Ri', 'D', 'Di', 'B', 'B', 'Di', 'F', 'Fi', 'B', 'Bi', 'U']
['B', 'F', 'B', 'Ri', 'U', 'Li', 'Di', 'Ri', 'Li', 'Fi', 'U', 'F', 'Li', 'L', 'Ui', 'D', 'Ri', 'Li', 'F', 'U', 'B', 'F', 'D', 'B', 'L', 'Li', 'F', 'L', 'F', 'F']
['B', 'D', 'Di', 'Li', 'F', 'Fi', 'Li', 'Fi', 'Li', 'B', 'Li', 'F', 'Di', 'B', 'Di', 'B', 'F', 'Ri', 'Di', 'Fi', 'U', 'F', 'D', 'D', 'D', 'F', 'B', 'Ui', 'B', 'Ui']
['Ri', 'Ui', 'Di', 'Ri', 'R', 'D', 'Di', 'D', 'B', 'Li', 'Di', 'L', 'F', 'F', 'U', 'B', 'Ri', 'Ui', 'R', 'F', 'B', 'F', 'D', 'L', 'B', 'Di', 'R', 'Li', 'Fi', 'U']
['R', 'Bi', 'Ri', 'Ui', 'L', 'D', 'Bi', 'R', 'D', 'R', 'Bi', 'D', 'Li', 'Li', 'D', 'D', 'Bi', 'Di', 'Ri', 'L', 'Di', 'Di', 'Li', 'Li', 'L', 'F', 'Ui', 'L', 'D', 'R']
['L', 'B', 'U', 'R', 'Li', 'Ui', 'R', 'U', 'Fi', 'B', 'B', 'F', 'Di', 'Ri', 'Bi', 'Fi', 'R', 'U', 'Di', 'F', 'L', 'R', 'Bi', 'Di', 'Li', 'B', 'Di', 'L', 'Di', 'D']
['Ri', 'Li', 'Ri', 'Di', 'Di', 'U', 'U', 'R', 'Ui', 'D', 'Fi', 'U', 'Ui', 'B', 'Li', 'L', 'L', 'F', 'Ri', 'Li', 'B', 'F', 'Di', 'Bi', 'Bi', 'D', 'Ri', 'F', 'D', 'R']
['Ri', 'R', 'Li', 'R', 'Ri', 'B', 'Di', 'L', 'Di', 'U', 'Bi', 'Fi', 'B', 'D', 'Bi', 'Bi', 'B', 'U', 'U', 'F', 'Li', 'Li', 'Bi', 'U', 'R', 'L', 'Di', 'L', 'Bi', 'Fi']
['Li', 'B', 'Ri', 'B', 'D', 'Li', 'Li', 'D', 'Fi', 'Di', 'D', 'B', 'Li', 'Bi', 'Bi', 'Di', 'Di', 'R', 'R', 'F', 'Ui', 'F', 'Bi', 'F', 'B', 'D', 'D', 'Li', 'Di', 'D']
['B', 'Ui', 'U', 'D', 'Fi', 'Li', 'U', 'Bi', 'D', 'L', 'D', 'Ui', 'D', 'Ri', 'R', 'Ui', 'Di', 'U', 'Fi', 'B', 'L', 'D', 'Fi', 'L', 'L', 'Bi', 'Fi', 'U', 'L', 'U']
['B', 'Ri', 'Di', 'D', 'Fi', 'B', 'B', 'Ri', 'Li', 'Li', 'Ri', 'Di', 'L', 'U', 'Ui', 'Ui', 'Di', 'Ri', 'Fi', 'B', 'Ui', 'F', 'Bi', 'Bi', 'U', 'Ri', 'D', 'L', 'Bi', 'F']
['L', 'Ui', 'U', 'U', 'Ui', 'B', 'Fi', 'Bi', 'B', 'Di', 'Ri', 'Ui', 'Ri', 'Li', 'Ui', 'Li', 'Bi', 'D', 'Li', 'L', 'U', 'R', 'B', 'L', 'Li', 'Li', 'L', 'F', 'Li', 'Ri']
['L', 'Ui', 'R', 'L', 'U', 'L', 'Li', 'Fi', 'Di', 'D', 'F', 'B', 'Li', 'Bi', 'B', 'U', 'R', 'Bi', 'Di', 'Fi', 'Ri', 'Ui', 'Li', 'U', 'B', 'Di', 'F', 'R', 'D', 'R']
['Di', 'Li', 'L', 'L', 'Fi', 'F', 'Li', 'D', 'R', 'L', 'Fi', 'Li', 'F', 'L', 'Ui', 'Fi', 'F', 'R', 'Di', 'Li', 'Bi', 'Ri', 'Di', 'D', 'F', 'B', 'Fi', 'Fi', 'Ri', 'Ui']
['R', 'Fi', 'R', 'L', 'F', 'L', 'Ri', 'Bi', 'Li', 'D', 'Fi', 'Ri', 'Ri', 'Di', 'Ri', 'Ui', 'B', 'Ui', 'U', 'Ui', 'Bi', 'Fi', 'B', 'D', 'F', 'B', 'U', 'Ui', 'Di', 'Ri']
['Ui', 'R', 'Fi', 'F', 'Di', 'B', 'U', 'Ui', 'Fi', 'Li', 'U', 'D', 'Fi', 'R', 'Ui', 'L', 'F', 'D', 'R', 'Bi', 'L', 'Fi', 'L', 'R', 'R', 'R', 'B', 'U', 'Ri', 'Fi']
['Bi', 'Ri', 'D', 'Ri', 'Fi', 'Ui', 'F', 'Bi', 'Bi', 'D', 'B', 'Li', 'B', 'B', 'B', 'F', 'L', 'Li', 'Ri', 'R', 'Li', 'Di', 'F', 'Fi', 'Li', 'Ui', 'Bi', 'D', 'Ui', 'Ui']
['Ri', 'B', 'Bi', 'Li', 'B', 'Bi', 'B', 'Fi', 'R', 'Fi', 'Li', 'U', 'U', 'Fi', 'B', 'F', 'U', 'F', 'Li', 'L', 'Fi', 'Bi', 'D', 'Ri', 'Li', 'Di', 'Bi', 'L', 'Fi', 'Ui']
['U', 'B', 'Ri', 'Li', 'U', 'B', 'R', 'Di', 'B', 'B', 'U', 'L', 'B', 'F', 'Ri', 'Di', 'Ri', 'Bi', 'Ui', 'F', 'Ri', 'U', 'Ui', 'Ui', 'U', 'Bi', 'Fi', 'F', 'Di', 'Bi']
['Ri', 'Fi', 'Fi', 'Di', 'Li', 'Ri', 'R', 'Li', 'L', 'Li', 'U', 'F', 'B', 'U', 'Li', 'R', 'L', 'Ui', 'L', 'F', 'D', 'F', 'Fi', 'Li', 'B', 'Di', 'Li', 'Di', 'Li', 'Ui']
['R', 'Di', 'Ui', 'Di', 'D', 'Ui', 'B', 'R', 'Fi', 'Ri', 'Li', 'F', 'D', 'D', 'Ri', 'Li', 'L', 'D', 'L', 'D', 'Di', 'Fi', 'Di', 'L', 'B', 'L', 'Li', 'Di', 'L', 'D']
['Ri', 'Ui', 'F', 'F', 'D', 'Li', 'Fi', 'B', 'Li', 'Di', 'Di', 'Li', 'R', 'Ui', 'Li', 'R', 'U', 'R', 'R', 'R', 'F', 'Fi', 'Bi', 'U', 'R', 'Ri', 'Bi', 'Li', 'Bi', 'D']
['F', 'U', 'F', 'B', 'Di', 'L', 'Fi', 'U', 'L', 'Li', 'Li', 'Di', 'F', 'Ui', 'Bi', 'F', 'L', 'R', 'D', 'Bi', 'B', 'U', 'L', 'Ui', 'Ri', 'F', 'Fi', 'Fi', 'B', 'Ui']
['F', 'B', 'R', 'Ri', 'Ui', 'F', 'F', 'B', 'B', 'F', 'F', 'U', 'Bi', 'Ri', 'L', 'F', 'Bi', 'F', 'F', 'F', 'R', 'B', 'D', 'Ui', 'R', 'Ri', 'Bi', 'Ri', 'R', 'Li']
['Fi', 'R', 'L', 'U', 'Ri', 'L', 'D', 'Li', 'Di', 'Bi', 'B', 'F', 'U', 'F', 'Fi', 'F', 'Fi', 'F', 'R', 'L', 'U', 'D', 'Bi', 'R', 'Bi', 'Bi', 'Fi', 'Di', 'Li', 'L']
['Li', 'B', 'Bi', 'F', 'Bi', 'U', 'Li', 'Ui', 'Ui', 'Di', 'R', 'U', 'Di', 'Ri', 'Bi', 'Di', 'R', 'L', 'Ri', 'F', 'Fi', 'D', 'L', 'F', 'U', 'D', 'Li', 'Ri', 'Li', 'L']
['U', 'D', 'Bi', 'Ui', 'B', 'Fi', 'Ri', 'F', 'Ui', 'D', 'Ri', 'Bi', 'D', 'Bi', 'L', 'Ri', 'L', 'D', 'Bi', 'F', 'Ui', 'B', 'Li', 'D', 'Ri', 'R', 'Fi', 'R', 'F', 'Bi']
['Li', 'Ui', 'Di', 'Fi', 'Ri', 'Bi', 'Li', 'F', 'Di', 'F', 'B', 'Bi', 'Bi', 'Fi', 'Li', 'D', 'Di', 'Ri', 'Bi', 'U', 'B', 'D', 'Ui', 'Ui', 'L', 'L', 'F', 'Li', 'R', 'F']
['Ui', 'Ui', 'D', 'U', 'D', 'U', 'Bi', 'Di', 'L', 'Ri', 'L', 'R', 'B', 'R', 'B', 'B', 'F', 'Fi', 'Ui', 'D', 'B', 'Bi', 'U', 'Fi', 'Fi', 'U', 'L', 'B', 'L', 'D']
['Ui', 'B', 'Li', 'U', 'R', 'U', 'R', 'Li', 'L', 'Fi', 'Bi', 'R', 'Fi', 'L', 'Li', 'F', 'F', 'Fi', 'F', 'U', 'D', 'L', 'B', 'Ri', 'D', 'Ri', 'Li', 'Ri', 'R', 'Di']
['B', 'F', 'Ri', 'R', 'Di', 'Di', 'D', 'Di', 'Di', 'F', 'Li', 'Ri', 'Bi', 'U', 'F', 'F', 'R', 'Fi', 'U', 'D', 'Ui', 'Bi', 'Di', 'B', 'Ri', 'B', 'Fi', 'U', 'L', 'Di']
['R', 'F', 'Ri', 'B', 'Bi', 'R', 'Ui', 'Ui', 'L', 'Ui', 'Li', 'Li', 'F', 'L', 'Ui', 'U', 'B', 'F', 'Fi', 'L', 'L', 'Ri', 'L', 'L', 'F', 'R', 'L', 'F', 'B', 'Bi']
['Ui', 'D', 'Ri', 'B', 'Bi', 'Bi', 'Di', 'L', 'F', 'Li', 'Ui', 'L', 'Ui', 'D', 'U', 'Bi', 'Fi', 'Bi', 'Ri', 'Fi', 'B', 'D', 'Li', 'D', 'Bi', 'F', 'Li', 'Ri', 'Di', 'Li']
['Li', 'B', 'Fi', 'U', 'B', 'D', 'Ui', 'Bi', 'F', 'Ui', 'Bi', 'Ui', 'F', 'Ui', 'R', 'F', 'Ri', 'Ui', 'Bi', 'Bi', 'Bi', 'Fi', 'F', 'D', 'Fi', 'Bi', 'Di', 'L', 'Fi', 'R']
['R', 'F', 'R', 'Ui', 'Di', 'R', 'R', 'Bi', 'D', 'B', 'D', 'Li', 'Ri', 'L', 'B', 'R', 'Bi', 'Di', 'U', 'R', 'B', 'R', 'Ui', 'R', 'B', 'B', 'Ui', 'Ui', 'Ri', 'F']
['Ri', 'Di', 'Fi', 'L', 'Di', 'Fi', 'L', 'Li', 'Bi', 'D', 'Li', 'B', 'Li', 'Li', 'F', 'Ri', 'R', 'R', 'Ri', 'U', 'L', 'F', 'Bi', 'F', 'Ri', 'R', 'Di', 'B', 'Ui', 'R']
['L', 'Bi', 'B', 'Li', 'Li', 'B', 'F', 'Li', 'Fi', 'Di', 'Bi', 'Li', 'Ui', 'Li', 'U', 'B', 'F', 'F', 'U', 'Bi', 'Di', 'Fi', 'F', 'Ri', 'Ui', 'Ui', 'Li', 'Li', 'Di', 'Li']
['Li', 'D', 'B', 'Fi', 'Fi', 'Ri', 'Fi', 'F', 'Ui', 'U', 'D', 'U', 'Fi', 'Fi', 'L', 'R', 'D', 'Fi', 'Ri', 'F', 'Bi', 'D', 'Ui', 'F', 'Ri', 'F', 'Ui', 'Bi', 'U', 'Ui']
['Bi', 'Di', 'F', 'R', 'Ui', 'Di', 'Ui', 'U', 'D', 'R', 'Bi', 'Di', 'U', 'Ri', 'R', 'Di', 'Ri', 'Bi', 'Li', 'F', 'U', 'D', 'Bi', 'U', 'F', 'Di', 'R', 'Di', 'Fi', 'F']
['Fi', 'Bi', 'D', 'R', 'Di', 'U', 'F', 'Li', 'B', 'F', 'U', 'Ri', 'Ri', 'Li', 'D', 'Li', 'R', 'F', 'F', 'D', 'Di', 'U', 'U', 'F', 'L', 'U', 'Li', 'Di', 'Ui', 'Ui']
['D', 'Bi', 'Ri', 'D', 'Li', 'Fi', 'F', 'Fi', 'Bi', 'U', 'F', 'U', 'Di', 'F', 'Fi', 'Fi', 'Ui', 'F', 'U', 'R', 'R', 'Ri', 'Li', 'Ui', 'Fi', 'F', 'F', 'Ri', 'Li', 'Di']
['L', 'Li', 'L', 'L', 'Ri', 'R', 'F', 'B', 'L', 'Ri', 'B', 'Di', 'Ui', 'L', 'Fi', 'Ui', 'L', 'U', 'Bi', 'Ri', 'R', 'Ui', 'Ri', 'D', 'R', 'D', 'U', 'L', 'F', 'D']
['Fi', 'Di', 'R', 'Fi', 'Ri', 'D', 'U', 'Bi', 'Fi', 'R', 'Bi', 'D', 'Ri', 'Ri', 'Fi', 'F', 'D', 'D', 'Bi', 'R', 'R', 'L', 'D', 'B', 'F', 'U', 'Ui', 'B', 'Bi', 'Di']
['L', 'Bi', 'Ui', 'L', 'B', 'B', 'Fi', 'Ui', 'Ui', 'U', 'R', 'Ri', 'U', 'Ri', 'D', 'Fi', 'L', 'L', 'Ui', 'Di', 'F', 'L', 'Fi', 'Li', 'Bi', 'F', 'D', 'U', 'U', 'D']
['F', 'B', 'B', 'Li', 'U', 'L', 'Bi', 'R', 'R', 'Ui', 'U', 'Bi', 'F', 'Ui', 'L', 'U', 'Di', 'D', 'U', 'B', 'B', 'Di', 'U', 'B', 'F', 'Di', 'Ui', 'Ui', 'Fi', 'Ui']
['D', 'L', 'R', 'U', 'F', 'Ui', 'Ri', 'B', 'Fi', 'F', 'Ui', 'B', 'B', 'L', 'Fi', 'D', 'R', 'U', 'Bi', 'Ri', 'Ui', 'D', 'F', 'L', 'Ri', 'Di', 'Ri', 'F', 'Fi', 'Li']
['Bi', 'L', 'B', 'R', 'F', 'F', 'L', 'Fi', 'Fi', 'R', 'R', 'R', 'D', 'Di', 'Di', 'D', 'R', 'Ui', 'Di', 'Di', 'Di', 'D', 'Di', 'D', 'Li', 'B', 'D', 'D', 'Li', 'U']
['L', 'Fi', 'Li', 'D', 'R', 'R', 'Di', 'Li', 'Di', 'Fi', 'R', 'L', 'Ui', 'Di', 'F', 'D', 'R', 'Di', 'D', 'B', 'Di', 'Ui', 'Ui', 'Di', 'D', 'B', 'Di', 'Bi', 'Ri', 'B']
['Fi', 'R', 'Di', 'Ri', 'Ui', 'Bi', 'F', 'R', 'F', 'L', 'F', 'Ri', 'Di', 'U', 'R', 'U', 'Li', 'Di', 'Ui', 'L', 'Di', 'Ri', 'Bi', 'Ri', 'Bi', 'Fi', 'B', 'F', 'Li', 'Ui']
['Fi', 'Ri', 'R', 'Fi', 'L', 'R', 'Fi', 'D', 'L', 'Di', 'Ri', 'B', 'Ri', 'Ui', 'Ui', 'Bi', 'U', 'Di', 'Bi', 'Ri', 'Ui', 'Fi', 'Ri', 'R', 'D', 'Di', 'D', 'Di', 'Fi', 'Di']
['F', 'B', 'Fi', 'F', 'D', 'Ui', 'D', 'Ui', 'Di', 'U', 'D', 'Li', 'U', 'U', 'R', 'Bi', 'F', 'Fi', 'Li', 'R', 'U', 'U', 'L', 'Li', 'L', 'Ui', 'U', 'B', 'Ri', 'L']
['Fi', 'Fi', 'Ri', 'Di', 'Di', 'L', 'Di', 'B', 'B', 'Ri', 'Fi', 'B', 'F', 'F', 'Bi', 'Li', 'B', 'Ui', 'Ui', 'R', 'Ri', 'Ui', 'Ri', 'Li', 'D', 'D', 'U', 'Ui', 'Li', 'D']
['R', 'U', 'D', 'B', 'F', 'R', 'L', 'F', 'Bi', 'U', 'U', 'Li', 'D', 'F', 'Fi', 'U', 'L', 'Di', 'F', 'Li', 'U', 'B', 'Fi', 'Ui', 'D', 'B', 'B', 'U', 'Bi', 'B']
['Li', 'Di', 'R', 'D', 'L', 'B', 'Ri', 'Bi', 'Ri', 'Bi', 'R', 'U', 'Di', 'U', 'U', 'R', 'L', 'Ui', 'Di', 'Fi', 'Bi', 'Ri', 'U', 'Ri', 'Ri', 'B', 'B', 'Ri', 'D', 'F']
['U', 'Di', 'R', 'Fi', 'U', 'Li', 'Ri', 'L', 'L', 'U', 'Fi', 'Fi', 'Bi', 'U', 'F', 'U', 'B', 'F', 'Di', 'Ri', 'B', 'L', 'Ui', 'F', 'Bi', 'Li', 'R', 'L', 'Fi', 'Bi']
['D', 'U', 'U', 'U', 'Di', 'R', 'Ui', 'Bi', 'D', 'B', 'Li', 'B', 'Ri', 'R', 'Ri', 'U', 'F', 'F', 'D', 'Fi', 'D', 'Fi', 'D', 'L', 'Di', 'U', 'U', 'R', 'D', 'Ri']
['R', 'Li', 'Fi', 'Di', 'Li', 'Bi', 'B', 'U', 'Li', 'Ri', 'Ri', 'Ui', 'F', 'Di', 'Di', 'Di', 'Ri', 'F', 'U', 'Di', 'R', 'Ri', 'Bi', 'B', 'B', 'Ui', 'U', 'R', 'U', 'U']
['D', 'Fi', 'F', 'Ui', 'Di', 'Ri', 'B', 'R', 'Fi', 'Di', 'Li', 'Ri', 'D', 'B', 'U', 'Ri', 'Li', 'Ui', 'Di', 'Fi', 'Ri', 'Fi', 'F', 'Li', 'U', 'Li', 'L', 'U', 'Ui', 'Ri']
['Li', 'B', 'Ri', 'Ui', 'D', 'L', 'Li', 'U', 'Fi', 'Ri', 'Li', 'D', 'F', 'D', 'Ui', 'Bi', 'Bi', 'Ui', 'Bi', 'Ri', 'B', 'U', 'Li', 'Li', 'Bi', 'U', 'D', 'Fi', 'R', 'Bi']
['Li', 'Di', 'D', 'L', 'D', 'D', 'U', 'B', 'D', 'L', 'R', 'R', 'Li', 'U', 'Li', 'R', 'Li', 'Fi', 'F', 'B', 'D', 'Ri', 'Li', 'Ui', 'Ui', 'F', 'Li', 'Fi', 'R', 'B']
['Ui', 'Fi', 'Li', 'Li', 'Li', 'Di', 'Di', 'Ri', 'Ui', 'Ri', 'Ui', 'F', 'L', 'L', 'L', 'Li', 'L', 'Ri', 'Fi', 'B', 'Ui', 'R', 'Fi', 'Fi', 'B', 'Ri', 'Di', 'Bi', 'L', 'F']
['Bi', 'L', 'R', 'B', 'U', 'Ui', 'U', 'Ri', 'Ri', 'D', 'U', 'Bi', 'R', 'D', 'Ui', 'Ri', 'U', 'Di', 'B', 'Di', 'Di', 'Li', 'Li', 'Li', 'U', 'D', 'R', 'R', 'Ri', 'Fi']
['F', 'Bi', 'D', 'Ui', 'D', 'Di', 'Di', 'U', 'U', 'Di', 'Ui', 'Ri', 'Fi', 'F', 'Fi', 'Ri', 'Di', 'Bi', 'Ui', 'Bi', 'Bi', 'Fi', 'Ui', 'D', 'Bi', 'Bi', 'Ri', 'R', 'Ri', 'L']
