[' | ', 'Ui', 'L', 'Fi', 'Li', 'Di', 'R', 'D', 'U', 'yi', 'L', 'Fi', 'Li', ' | ', 'U2', 'Fi', 'U2', 'F', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Li', 'U2', 'L', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', 'R', 'U', 'Ri', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'L', 'F', 'Ui', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'Li', ' | ', 'Li', 'M', 'Ui', 'L', 'U', 'Mi', 'Ui', 'Li', 'U', 'L', 'Ui']
[' | ', 'R', 'F', 'D2', 'Li', 'D2', 'D2', 'R', 'D2', ' | ', 'U', 'yi', 'L', 'Ui', 'Li', ' | ', 'U', 'F', 'Ui', 'Fi', 'U', 'R', 'Ui', 'Ri', ' | ', 'Li', 'Ui', 'L', ' | ', 'U', 'Ri', 'U', 'R', ' | ', ' | ', ' | ', 'U', 'F', 'U', 'F', 'Ri', 'Fi', 'R', 'Ui', 'Fi', 'y', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'U2']
[' | ', 'U', 'F2', 'U', 'yi', 'L2', 'U', 'F2', ' | ', 'Ui', 'L', 'U', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', 'U', 'Li', 'U', 'L', 'U2', 'R', 'U', 'Ri', ' | ', 'U2', 'F', 'U', 'Fi', ' | ', 'U', 'y', 'R', 'Ui', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'F2', 'U', 'Fi', 'U', 'F', 'U2', 'Fi', ' | ', 'R', 'Mi', 'U', 'Ri', 'Ui', 'M', 'U', 'R', 'Ui', 'Ri', 'U']
[' | ', 'F2', 'F', 'Ri', 'Fi', 'D', 'L', 'Di', 'D2', 'R', 'D2', ' | ', 'U', 'L', 'U2', 'Li', 'U2', 'L', 'U', 'Li', ' | ', 'R', 'Ui', 'Ri', 'U2', 'R', 'U', 'Ri', ' | ', 'U', 'Li', 'U2', 'L', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U', 'F', 'U2', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'Ui', 'R', 'U', 'Ri', 'U', 'R', 'U', 'Li', 'U', 'Ri', 'Ui', 'L', ' | ', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'Mi', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'Mi']
[' | ', 'U', 'L', 'Fi', 'Li', 'Di', 'F', 'D', 'yi', 'L', 'U2', 'F2', ' | ', 'U2', 'L', 'U2', 'Li', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U2', 'R', 'Ui', 'Ri', ' | ', 'U2', 'L', 'U2', 'Li', 'U', 'yi', 'Li', 'Ui', 'L', ' | ', 'Ui', 'Fi', 'U2', 'F', 'U2', 'R', 'U', 'Ri', ' | ', ' | ', 'F', 'U', 'Fi', 'U', 'F', 'U2', 'Fi', ' | ', 'Mi', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'Ui', 'Mi', 'Ui']
[' | ', 'Di', 'L', 'D', 'D2', 'L', 'D2', 'yi', 'L2', 'Ui', 'L', 'Fi', 'Li', ' | ', 'U2', 'F', 'U2', 'Fi', 'R', 'Ui', 'Ri', ' | ', 'Li', 'U', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', 'U2', 'L', 'U2', 'Li', 'U', 'L', 'Ui', 'Li', ' | ', 'U2', 'Ri', 'Ui', 'R', ' | ', ' | ', 'Ui', 'y', 'R', 'U', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', ' | ', 'Ri', 'M', 'Ui', 'R', 'U', 'Mi', 'Ui', 'Ri', 'U', 'R', 'U2']
[' | ', 'Ui', 'F2', 'Di', 'F', 'D', 'R', 'y', 'Ri', 'Fi', 'y', 'Ri', ' | ', 'Ui', 'F', 'U2', 'Fi', 'U2', 'L', 'Ui', 'Li', ' | ', 'Ui', 'Ri', 'U', 'R', 'Ui', 'R', 'U', 'Ri', ' | ', 'Ui', 'y', 'R', 'U2', 'Ri', 'U2', 'Fi', 'U', 'F', ' | ', 'Ui', 'L', 'Ui', 'Li', 'U', 'L', 'U', 'Li', ' | ', ' | ', 'R', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'R2', 'U2', 'R', 'U', 'Ri', 'U', 'R', ' | ', 'U2', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'U2']
[' | ', 'Di', 'Li', 'D', 'Di', 'Fi', 'D', 'Di', 'R', 'D', 'D', 'F', 'Di', ' | ', 'Ui', 'yi', 'L', 'U', 'Li', 'U', 'Fi', 'U', 'F', ' | ', 'U2', 'Ri', 'U2', 'R', 'Ui', 'yi', 'L', 'Ui', 'Li', ' | ', 'U', 'Fi', 'U', 'F', 'U', 'R', 'U', 'Ri', ' | ', 'U', 'F', 'U', 'Fi', 'Ui', 'Li', 'U', 'L', ' | ', ' | ', 'U2', 'L', 'U', 'Li', 'U', 'Li', 'yi', 'L', 'F', 'Li', 'F', 'U2', 'Fi', ' | ']
[' | ', 'D', 'R', 'Di', 'Ui', 'F', 'Ri', 'Fi', 'Ui', 'R', 'y', 'Ri', 'Fi', 'y', 'R', 'Di', 'F', 'D', ' | ', 'U2', 'yi', 'L', 'U', 'Li', 'Ui', 'L', 'U', 'Li', ' | ', 'U2', 'R', 'Ui', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'Ri', 'Ui', 'R', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'y', 'R', 'Ui', 'Ri', 'U', 'Fi', 'U', 'F', ' | ', ' | ', 'L', 'Fi', 'Li', 'F', 'U2', 'F', 'U2', 'Fi', ' | ', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'U', 'M', 'U2', 'Mi', 'U', 'M']
[' | ', 'L', 'Di', 'Li', 'D', 'F', 'Ri', 'Fi', 'U', 'yi', 'L2', 'Ui', 'F2', ' | ', 'Ui', 'yi', 'Li', 'U', 'L', 'L', 'Ui', 'Li', ' | ', 'Fi', 'U2', 'F', 'Li', 'U', 'L', ' | ', 'Fi', 'Ui', 'F', 'U', 'y', 'R', 'Ui', 'Ri', ' | ', 'Li', 'U', 'L', 'F', 'U', 'Fi', ' | ', ' | ', 'Ui', 'F', 'U', 'Fi', 'U', 'F', 'Ui', 'F', 'D', 'Fi', 'Ui', 'F', 'Di', 'F2', ' | ', 'U', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2']
[' | ', 'F', 'Di', 'L', 'D', 'Ui', 'R2', 'U2', 'L2', ' | ', 'Ri', 'Ui', 'R', 'Li', 'Ui', 'L', ' | ', 'Ui', 'y', 'Ri', 'U', 'R', 'U2', 'R', 'U', 'Ri', ' | ', 'U2', 'F', 'U', 'Fi', 'yi', 'L', 'Ui', 'Li', ' | ', 'R', 'U', 'Ri', 'U', 'R', 'Ui', 'Ri', ' | ', ' | ', 'L', 'F', 'U', 'Fi', 'Ui', 'F', 'U', 'Fi', 'Ui', 'Li', ' | ', 'U2', 'M2', 'U', 'M', 'Ui', 'Mi', 'Ui', 'Mi', 'U', 'Mi', 'U', 'Mi', 'Ui', 'M', 'Ui']
[' | ', 'U', 'F2', 'F', 'Ri', 'Fi', 'y', 'R', 'D2', 'Fi', 'D2', ' | ', 'Ui', 'F', 'Ui', 'Fi', 'Ui', 'y', 'R', 'U', 'Ri', ' | ', 'Li', 'U', 'L', 'L', 'Ui', 'Li', ' | ', 'U', 'Ri', 'U', 'R', ' | ', 'U2', 'F', 'U2', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'L', 'U2', 'Li', 'Ui', 'L', 'U', 'Li', 'Ui', 'L', 'Ui', 'Li', ' | ', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui']
[' | ', 'R', 'F', 'Ri', 'y', 'R', 'D2', 'Fi', 'D2', ' | ', 'F', 'Ui', 'Fi', 'U2', 'F', 'U', 'Fi', ' | ', 'U', 'y', 'R', 'U2', 'Ri', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'U', 'Fi', 'Ui', 'F', 'U', 'y', 'R', 'Ui', 'Ri', ' | ', 'Ui', 'Li', 'Ui', 'L', 'U2', 'F', 'U', 'Fi', ' | ', ' | ', 'U', 'F', 'U2', 'F2', 'L', 'F', 'Li', 'F', 'U2', 'Fi', ' | ']
[' | ', 'y', 'R', 'D2', 'Ri', 'D2', 'F', 'Di', 'F', 'D', 'Di', 'Ri', 'D', ' | ', 'U2', 'L', 'Ui', 'Li', 'Li', 'U', 'L', ' | ', 'U', 'y', 'R', 'Ui', 'Ri', ' | ', 'U2', 'F', 'Ui', 'Fi', 'yi', 'L', 'Ui', 'Li', ' | ', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'U', 'R', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'U2', 'Fi', 'M', 'Ui', 'F', 'U', 'Mi', 'Ui', 'Fi', 'U', 'F', 'Ui']
[' | ', 'D2', 'yi', 'L', 'D2', 'D2', 'Fi', 'D2', 'U', 'L2', 'L', 'Fi', 'Li', ' | ', 'Ri', 'Ui', 'R', 'U', 'Fi', 'U', 'F', ' | ', 'U2', 'y', 'R', 'Ui', 'Ri', 'U', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'L', 'U', 'Li', ' | ', 'Ui', 'Fi', 'U2', 'F', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U', 'yi', 'Li', 'Ui', 'L', 'U', 'L', 'Fi', 'Li', 'F', ' | ', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'Mi']
[' | ', 'L', 'Di', 'Li', 'D', 'y', 'R', 'D', 'Ri', 'Di', 'R', 'Di', 'F', 'D', 'yi', 'L', ' | ', 'U', 'Li', 'U2', 'L', 'U2', 'Fi', 'Ui', 'F', ' | ', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'L', 'U', 'Li', ' | ', 'U', 'F', 'U', 'Fi', 'yi', 'L', 'Ui', 'Li', ' | ', 'Fi', 'U', 'F', 'U2', 'Fi', 'U', 'F', ' | ', ' | ', 'U', 'R', 'y', 'Ri', 'Ui', 'R', 'Fi', 'Ri', 'U', 'Fi', 'R', ' | ']
[' | ', 'D2', 'yi', 'Li', 'D2', 'D2', 'F', 'D2', 'Ui', 'yi', 'L', 'Fi', 'Li', 'U2', 'R2', ' | ', 'U', 'Li', 'Ui', 'L', ' | ', 'U2', 'yi', 'Li', 'Ui', 'L', 'F', 'U', 'Fi', ' | ', 'Ui', 'Ri', 'U2', 'R', 'y', 'Ri', 'Ui', 'R', ' | ', 'U', 'R', 'U', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'Li', 'U2', 'Li', 'Di', 'L', 'U2', 'Li', 'D', 'L2', ' | ', 'Ui', 'Li', 'M', 'Ui', 'L', 'U', 'Mi', 'Ui', 'Li', 'U', 'L', 'U2']
[' | ', 'D', 'Ri', 'Di', 'Ui', 'F', 'Ri', 'Fi', ' | ', 'Ri', 'U', 'R', ' | ', 'U', 'R', 'U', 'Ri', 'Ui', 'Li', 'U', 'L', ' | ', 'U', 'R', 'Ui', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', 'U', 'y', 'Ri', 'U', 'R', 'U2', 'Ri', 'U', 'R', ' | ', ' | ', 'Fi', 'U', 'y', 'Ri', 'U2', 'L', 'Ui', 'Li', 'U2', 'L', 'R', ' | ', 'Ui', 'L', 'U', 'Li', 'Ui', 'Mi', 'U', 'L', 'Ui', 'Li', 'M']
[' | ', 'U', 'F', 'Ri', 'Fi', 'Ui', 'yi', 'L2', 'U2', 'F2', ' | ', 'U2', 'Fi', 'U2', 'F', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'U2', 'L', 'U', 'Li', 'Ui', 'Ri', 'U', 'R', ' | ', 'U', 'Li', 'U2', 'L', 'U2', 'F', 'U', 'Fi', ' | ', 'y', 'Ri', 'Ui', 'R', 'U2', 'Ri', 'Ui', 'R', ' | ', ' | ', 'U', 'L', 'U2', 'L', 'D', 'Li', 'U2', 'L', 'Di', 'L2', ' | ', 'U', 'L', 'U', 'L', 'Fi', 'Li', 'F', 'Ui', 'Li', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'U2']
[' | ', 'D2', 'y', 'Ri', 'D2', 'Ui', 'L', 'Fi', 'Li', 'U', 'yi', 'L2', ' | ', 'Ui', 'Fi', 'U', 'F', ' | ', 'U2', 'Li', 'U', 'L', 'U', 'Ri', 'Ui', 'R', ' | ', 'U2', 'F', 'U2', 'Fi', 'U2', 'F', 'Ui', 'Fi', ' | ', 'L', 'U', 'Li', 'U2', 'L', 'U2', 'Li', 'U', 'y', 'Ri', 'Ui', 'R', ' | ', ' | ', 'Li', 'Ui', 'L', 'Ui', 'Li', 'U', 'L', 'F', 'R', 'U', 'Ri', 'Fi', ' | ', 'U2', 'yi', 'L', 'U', 'L', 'Fi', 'Li', 'F', 'Ui', 'Li', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'Ui']
[' | ', 'U2', 'F2', 'y', 'R', 'F', 'D2', 'L', 'D2', 'Ui', 'R', 'y', 'Ri', 'Fi', ' | ', 'Ui', 'F', 'U', 'Fi', ' | ', 'U', 'Ri', 'U2', 'R', 'U2', 'Ri', 'U', 'R', ' | ', 'U2', 'R', 'U2', 'Ri', 'U', 'Fi', 'Ui', 'F', ' | ', 'U2', 'L', 'U2', 'Li', 'U', 'yi', 'Li', 'U', 'L', ' | ', ' | ', 'F', 'U2', 'Fi', 'Ui', 'F', 'U', 'Fi', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'M2', 'U', 'M', 'Ui', 'Mi', 'Ui', 'Mi', 'U', 'Mi', 'U', 'Mi', 'Ui', 'M', 'Ui']
[' | ', 'F', 'Di', 'L', 'D', 'L', 'D', 'yi', 'L', 'Di', 'D2', 'Ri', 'D2', 'L', 'Fi', 'Li', ' | ', 'Ri', 'U2', 'R', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U', 'R', 'U2', 'Ri', 'U2', 'F', 'U', 'Fi', ' | ', 'y', 'Ri', 'Ui', 'R', ' | ', 'U2', 'F', 'U2', 'Fi', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'U', 'U2', 'Li', 'yi', 'L', 'Ui', 'F', 'L', 'Fi', 'U', 'F', 'Li', ' | ']
[' | ', 'yi', 'L', 'D2', 'Li', 'D2', 'D2', 'F', 'D2', 'Ui', 'L2', 'U', 'F2', ' | ', 'Li', 'U2', 'L', 'Fi', 'Ui', 'F', ' | ', 'U2', 'L', 'U', 'Li', ' | ', 'U2', 'F', 'U2', 'Fi', 'Ui', 'F', 'U', 'Fi', ' | ', 'y', 'R', 'U', 'Ri', 'U', 'Fi', 'U', 'F', 'Ui', 'R', 'Ui', 'Ri', ' | ', ' | ', 'F', 'Ui', 'y', 'Ri', 'U', 'Li', 'Ui', 'R', ' | ', 'F', 'Mi', 'U', 'Fi', 'Ui', 'M', 'U', 'F', 'Ui', 'Fi', 'Ui']
[' | ', 'L', 'Di', 'Li', 'D', 'R', 'D2', 'F', 'D2', 'Di', 'yi', 'L', 'D', ' | ', 'Ui', 'L', 'U2', 'Li', 'U', 'F', 'Ui', 'Fi', ' | ', 'Fi', 'U', 'F', 'U', 'Fi', 'Ui', 'F', ' | ', 'Ri', 'Ui', 'R', 'Ui', 'L', 'U', 'Li', ' | ', 'U2', 'yi', 'L', 'U2', 'Li', 'Ui', 'L', 'U', 'Li', ' | ', ' | ', 'U2', 'F', 'U2', 'Fi', 'U2', 'Fi', 'L', 'F', 'Li', ' | ', 'U', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'M', 'U2', 'Mi', 'Ui', 'M', 'Ui']
[' | ', 'F', 'Di', 'L', 'D', 'U2', 'yi', 'L2', 'U2', 'L', 'Fi', 'Li', ' | ', 'U', 'y', 'Ri', 'U2', 'R', 'Ui', 'Ri', 'U', 'R', ' | ', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Li', 'Ui', 'L', 'U2', 'yi', 'Li', 'U2', 'L', 'U2', 'Fi', 'U', 'F', ' | ', 'Ui', 'Li', 'U2', 'L', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'U', 'y', 'R', 'U2', 'R2', 'F', 'R', 'Fi', 'R', 'U2', 'Ri', ' | ']
[' | ', 'U2', 'L', 'Fi', 'Li', 'D', 'y', 'Ri', 'Di', 'U2', 'F', 'Ri', 'Fi', 'D2', 'Fi', 'D2', ' | ', 'U', 'yi', 'Li', 'U2', 'L', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'R', 'U', 'Ri', 'U', 'Fi', 'Ui', 'F', ' | ', 'F', 'U', 'Fi', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', 'Fi', 'U2', 'F', 'Ui', 'Fi', 'U', 'F', ' | ', ' | ', 'U', 'L', 'U2', 'L2', 'yi', 'L', 'F', 'Li', 'F', 'U2', 'Fi', ' | ', 'Ui', 'M2', 'Ui', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui', 'M', 'U2', 'M', 'U', 'M', 'Ui']
[' | ', 'F', 'U2', 'F', 'Ri', 'Fi', 'L', 'yi', 'L', 'Ui', 'F2', ' | ', 'U2', 'R', 'U2', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', 'Ui', 'Li', 'U', 'L', ' | ', 'U', 'yi', 'Li', 'U', 'L', 'U2', 'F', 'U', 'Fi', ' | ', ' | ', 'Ri', 'U', 'L', 'Ui', 'R', 'U', 'Li', ' | ', 'U2', 'Li', 'Ui', 'L', 'U', 'M', 'Ui', 'Li', 'U', 'L', 'Mi', 'U']
[' | ', 'y', 'R', 'D', 'F', 'Di', 'Ui', 'F2', 'y', 'R', 'D', 'Ri', 'Di', 'U', 'F', 'Ri', 'Fi', ' | ', 'L', 'U', 'Li', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'L', 'U2', 'Li', 'Ui', 'Ri', 'U', 'R', ' | ', 'Ui', 'Li', 'Ui', 'L', 'Ui', 'y', 'Ri', 'U', 'R', ' | ', 'U', 'L', 'U', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', ' | ', 'L', 'F', 'U', 'Fi', 'Ui', 'F', 'U', 'Fi', 'Ui', 'Li', ' | ', 'U2', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2', 'U']
[' | ', 'U2', 'F2', 'Ui', 'F', 'Ri', 'Fi', 'U2', 'yi', 'L2', 'U', 'F2', ' | ', 'Ri', 'Ui', 'R', 'Ui', 'Fi', 'U', 'F', ' | ', 'U', 'F', 'Ui', 'Fi', 'yi', 'L', 'Ui', 'Li', ' | ', 'Li', 'U', 'L', 'U2', 'R', 'U', 'Ri', ' | ', 'F', 'Ui', 'Fi', 'U', 'Li', 'U', 'L', ' | ', ' | ', 'U2', 'R', 'U', 'Ri', 'U', 'Ri', 'F', 'R', 'Fi', 'R', 'U2', 'Ri', ' | ', 'U2', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi']
